id,traveler_id,host_id,location_id,arrival,departure,description
55,6,14,1,05/01/2017,04/30/2017,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est."
56,142,172,7,03/01/2017,09/05/2017,"Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti."
57,62,116,5,07/03/2017,07/08/2017,
58,92,126,9,07/14/2017,01/07/2018,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.
59,95,6,3,05/19/2017,03/12/2017,In congue. Etiam justo.
60,18,83,1,10/16/2017,07/23/2017,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.
61,173,73,2,12/01/2017,03/07/2017,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros."
62,161,62,4,08/04/2017,05/19/2017,Morbi non lectus.
63,43,2,5,03/24/2017,07/25/2017,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus."
64,74,110,3,10/22/2017,12/06/2017,Proin interdum mauris non ligula pellentesque ultrices.
65,125,176,2,02/26/2017,01/18/2018,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.
66,80,20,7,07/25/2017,04/15/2017,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum."
67,152,150,9,08/20/2017,04/17/2017,"Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam."
68,113,91,1,11/21/2017,01/15/2017,"Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim."
69,47,11,1,08/12/2017,09/18/2017,"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
70,3,40,5,10/06/2017,06/16/2017,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum."
71,8,13,8,09/17/2017,12/17/2017,Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.
72,141,126,1,07/29/2017,09/16/2017,Nullam varius.
73,67,173,4,02/02/2017,10/20/2017,Proin eu mi. Nulla ac enim.
74,118,34,3,07/08/2017,09/05/2017,Morbi non lectus.
75,125,36,6,12/22/2017,01/01/2018,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue."
76,34,28,10,06/26/2017,06/22/2017,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque."
77,98,159,9,10/29/2017,03/10/2017,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis."
78,32,106,8,03/08/2017,04/11/2017,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis justo.
79,41,166,6,02/02/2017,05/04/2017,"Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante."
80,51,101,7,09/27/2017,08/01/2017,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo."
